filename,title,description
phase3_v6_island_fan_charts_all_scenarios.png,Island fan charts by scenario,Observed island history with forecast fan charts for baseline and selected hazard scenarios.
phase3_v6_island_hurricane_ladder.png,Island hurricane ladder,Median island forecast paths comparing baseline against Cat 1 through Cat 5 Maria-like hurricane scenarios.
phase3_v6_island_earthquake_ladder.png,Island earthquake ladder,Median island forecast paths comparing baseline against multiple earthquake magnitude scenarios.
phase3_v6_side_by_side_baseline_vs_hazards.png,Baseline vs selected hazards,Side-by-side island-level comparison panels for baseline against selected hurricane and earthquake scenarios.
phase3_v6_island_impact_over_time.png,Island impact over time,Difference between scenario median and baseline median island population by year.
phase3_v6_maria_backtest_island.png,Maria backtest island,Observed island population compared with Maria-like modeled backtest path from 2018-2021.
phase3_v6_region_2030_impact_bars.png,Region 2030 impact bars,Horizontal bar charts showing region-level 2030 population impact versus baseline for selected scenarios.
phase3_v6_region_faceted_paths.png,Regional faceted paths,"Faceted regional median path charts comparing baseline, hurricane Cat 3, and Cat 5 Maria-like scenarios."
phase3_v6_top_municipal_losses_maria_like.png,Top municipal losses Maria-like,Municipalities with the largest modeled 2030 population losses relative to baseline under a Cat 5 Maria-like hurricane.
phase3_v6_heatmap_earthquake_m6_8.png,Heatmap earthquake_m6_8,Regional impact heatmap over forecast years for earthquake m6 8.
phase3_v6_heatmap_earthquake_m7_5.png,Heatmap earthquake_m7_5,Regional impact heatmap over forecast years for earthquake m7 5.
phase3_v6_heatmap_hurricane_cat3.png,Heatmap hurricane_cat3,Regional impact heatmap over forecast years for hurricane cat3.
phase3_v6_heatmap_hurricane_cat5_maria_like.png,Heatmap hurricane_cat5_maria_like,Regional impact heatmap over forecast years for hurricane cat5 maria like.
phase3_v6_uncertainty_width_comparison.png,Uncertainty width comparison,Comparison of island forecast uncertainty band width over time across scenarios.
phase3_v6_maria_backtest_error.png,Maria backtest error,Two-panel chart showing the Maria-like island backtest deviation from observed population in levels and percent terms.
phase3_v6_island_pct_impact_over_time.png,Island percent impact over time,Percent difference between scenario median and baseline median island population over forecast years.
phase3_v6_region_scenario_heatmap_2030.png,Region-scenario heatmap 2030,Heatmap of region-level 2030 population impact versus baseline across hurricane and earthquake magnitude scenarios.
phase3_v6_municipal_vulnerability_vs_impact_scatter.png,Municipal vulnerability vs impact,Scatter plot showing whether more vulnerable municipalities experience larger modeled 2030 losses under the Cat 5 Maria-like scenario.
phase3_v6_top_municipal_losses_compare.png,Top municipal losses comparison,Side-by-side comparison of the municipalities with the largest 2030 losses under the Maria-like hurricane and M7.5 earthquake scenarios.
phase3_v6_map_region_2030_pct_impact_baseline.png,Regional 2030 impact map — Baseline,Labeled Puerto Rico regional map showing 2030 percent population impact versus baseline for the Baseline scenario.
phase3_v6_map_region_2030_pct_impact_hurricane_cat3.png,Regional 2030 impact map — Hurricane Cat3,Labeled Puerto Rico regional map showing 2030 percent population impact versus baseline for the Hurricane Cat3 scenario.
phase3_v6_map_region_2030_pct_impact_hurricane_cat5_maria_like.png,Regional 2030 impact map — Hurricane Cat5 Maria Like,Labeled Puerto Rico regional map showing 2030 percent population impact versus baseline for the Hurricane Cat5 Maria Like scenario.
phase3_v6_map_region_2030_pct_impact_earthquake_m6_8.png,Regional 2030 impact map — Earthquake M6 8,Labeled Puerto Rico regional map showing 2030 percent population impact versus baseline for the Earthquake M6 8 scenario.
phase3_v6_map_region_2030_pct_impact_earthquake_m7_5.png,Regional 2030 impact map — Earthquake M7 5,Labeled Puerto Rico regional map showing 2030 percent population impact versus baseline for the Earthquake M7 5 scenario.
